YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1965,-4.50,-5.20,-5.10,-0.70,0.70,5.70,6.90,7.60,6.40,1.70,-2.20,-4.90,-4.30,-1.70,6.73,1.97,0.68
1966,-7.90,-8.80,-8.00,-2.90,1.00,6.40,9.80,8.60,4.40,-0.20,-0.20,-4.40,-7.20,-3.30,8.27,1.33,-0.23
1967,-6.10,-5.00,-1.10,-0.10,2.60,7.00,9.50,10.30,7.90,2.40,2.10,-4.20,-5.17,0.47,8.93,4.13,2.09
1968,-7.40,-5.50,-4.10,-2.10,0.40,5.10,6.70,8.60,4.10,-1.10,-1.60,-1.80,-5.70,-1.93,6.80,0.47,-0.09
1969,-6.70,-9.70,-4.70,-2.20,0.90,4.60,8.40,9.00,6.50,3.70,-0.80,-3.50,-6.07,-2.00,7.33,3.13,0.60
1970,-3.20,-8.30,-2.40,-2.80,3.00,7.30,9.80,10.70,7.00,3.30,-1.80,-2.30,-5.00,-0.73,9.27,2.83,1.59
1971,-5.30,-6.30,-5.90,-2.30,1.70,4.10,8.80,9.30,5.90,1.20,-4.40,-3.30,-4.63,-2.17,7.40,0.90,0.38
1972,-3.60,-4.60,-2.50,-0.90,2.70,8.40,12.20,11.70,7.10,2.90,-2.10,-0.20,-3.83,-0.23,10.77,2.63,2.33
1973,-3.30,-4.20,-3.50,0.20,3.30,7.30,11.60,9.50,5.50,0.50,-2.00,-5.40,-2.57,-0.00,9.47,1.33,2.06
1974,-3.70,-3.10,-0.60,-0.20,2.10,7.30,11.60,10.20,8.50,2.50,-1.80,-1.00,-4.07,0.43,9.70,3.07,2.28
1975,-4.30,-2.90,-1.00,0.00,3.60,5.60,8.40,7.50,7.60,1.40,-0.50,-4.30,-2.73,0.87,7.17,2.83,2.03
1976,-5.60,-4.30,-3.10,-0.10,3.50,5.50,9.60,9.70,5.00,1.30,-2.30,-2.90,-4.73,0.10,8.27,1.33,1.24
1977,-4.80,-4.80,-4.20,-1.80,2.40,6.00,8.60,8.30,5.90,1.60,0.80,-3.40,-4.17,-1.20,7.63,2.77,1.26
1978,-6.30,-7.00,-4.50,-2.40,2.90,4.50,7.00,8.10,5.50,1.20,-1.10,-5.80,-5.57,-1.33,6.53,1.87,0.38
1979,-7.40,-6.50,-3.80,-2.40,2.60,5.40,9.20,9.90,7.40,1.10,-1.50,-1.90,-6.57,-1.20,8.17,2.33,0.68
1980,-5.00,-6.20,-4.30,0.10,1.80,6.70,7.70,9.10,7.20,2.40,-2.90,-5.20,-4.37,-0.80,7.83,2.23,1.23
1981,-5.80,-6.30,-6.20,-2.40,2.10,5.10,8.70,8.80,6.60,3.50,-0.70,-5.70,-5.77,-2.17,7.53,3.13,0.68
1982,-6.00,-4.10,-2.60,-0.30,2.50,4.00,10.10,8.10,6.20,1.90,-0.60,-2.10,-5.27,-0.13,7.40,2.50,1.12
1983,-2.50,-4.20,-1.90,1.00,2.30,6.60,10.00,8.80,7.80,3.00,-3.00,-5.30,-2.93,0.47,8.47,2.60,2.15
1984,-4.60,-2.70,-4.10,-0.20,4.70,6.80,8.80,8.90,6.40,2.90,-1.90,-1.20,-4.20,0.13,8.17,2.47,1.64
1985,-7.40,-8.50,-2.20,-2.00,1.60,5.70,8.70,9.20,7.30,2.80,-0.70,-6.10,-5.70,-0.87,7.87,3.13,1.11
1986,-5.30,-6.80,-1.70,-1.70,2.80,8.10,8.20,9.20,4.90,3.40,0.50,-5.50,-6.07,-0.20,8.50,2.93,1.29
1987,-5.60,-7.20,-4.40,-1.70,2.20,4.90,8.30,7.00,6.90,6.00,-2.90,-4.60,-6.10,-1.30,6.73,3.33,0.67
1988,-5.20,-4.00,-4.40,-2.90,2.60,6.30,10.10,9.30,7.50,2.30,-3.70,-5.60,-4.60,-1.57,8.57,2.03,1.11
1989,-3.50,-3.60,-0.90,2.70,5.10,9.40,10.10,10.30,7.80,2.20,0.60,-3.70,-4.23,2.30,9.93,3.53,2.88
1990,-5.50,-0.30,-1.90,1.60,2.40,6.80,10.10,10.90,7.60,2.90,-2.00,-0.60,-3.17,0.70,9.27,2.83,2.41
1991,-3.60,-2.70,-3.80,0.80,2.90,6.90,9.40,10.30,5.90,3.10,-0.30,-1.50,-2.30,-0.03,8.87,2.90,2.36
1992,-1.80,-1.90,-0.70,-1.30,5.10,7.20,8.80,8.80,8.40,-0.70,-2.60,-1.00,-1.73,1.03,8.27,1.70,2.32
1993,-2.40,-3.40,-2.70,-1.20,3.00,5.00,7.90,9.30,4.50,0.40,-1.60,-4.40,-2.27,-0.30,7.40,1.10,1.48
1994,-5.50,-4.10,-2.60,1.90,2.70,5.90,10.00,10.80,6.90,1.50,-1.80,-1.50,-4.67,0.67,8.90,2.20,1.77
1995,-3.20,-3.10,-1.30,-0.10,3.00,6.90,8.80,8.50,6.80,1.70,-2.60,-5.50,-2.60,0.53,8.07,1.97,1.99
1996,-2.60,-6.10,-1.80,-1.70,1.00,5.50,7.90,10.30,6.50,3.70,-0.20,-3.40,-4.73,-0.83,7.90,3.33,1.42
1997,-5.60,-4.90,-2.10,-2.90,2.60,5.40,8.40,10.60,8.50,2.50,-1.60,-2.70,-4.63,-0.80,8.13,3.13,1.46
1998,-4.80,-8.90,-4.20,-2.30,2.50,4.50,9.00,9.40,6.10,2.50,-3.40,-3.30,-5.47,-1.33,7.63,1.73,0.64
1999,-6.60,-6.00,-2.70,-0.30,0.80,7.70,9.80,9.00,8.30,4.30,0.10,-3.40,-5.30,-0.73,8.83,4.23,1.76
